,Valor,IPTU_Condicao,Caracteristicas,Tipo,Endereco
508,R$ 489.900,R$ 807 Condo. + IPTU,54 m² · 2 quartos · 1 vaga,Apartamento,"Rua Úrsula Paulino, Betânia · Belo Horizonte"
509,R$ 320.000,R$ 260 Condo. + IPTU,65 m² · 2 quartos · 2 vagas,Apartamento,"Rua Antônio Ferreira de Barros, Céu Azul · Belo Horizonte"
510,R$ 150.000,R$ 40 Condo. + IPTU,57 m² · 2 quartos,Apartamento,"Avenida Avaí, Dom Bosco · Belo Horizonte"
511,R$ 690.000,R$ 467 Condo. + IPTU,180 m² · 3 quartos · 2 vagas,Apartamento,"Rua São Joaquim, Sagrada Família · Belo Horizonte"
512,R$ 180.000,R$ 335 Condo. + IPTU,50 m² · 2 quartos · 1 vaga,Apartamento,"Rua José Joaquim Duarte, Heliópolis · Belo Horizonte"
513,R$ 340.000,R$ 300 Condo. + IPTU,85 m² · 2 quartos,Apartamento,"Rua Tapira, Renascença · Belo Horizonte"
514,R$ 230.000,R$ 100 Condo. + IPTU,55 m² · 3 quartos · 1 vaga,Apartamento,"Rua Capanema, Coqueiros · Belo Horizonte"
515,R$ 185.000,R$ 280 Condo. + IPTU,43 m² · 2 quartos,Apartamento,"Rua Inácio Murta, Santa Amélia · Belo Horizonte"
516,R$ 395.000,R$ 410 Condo. + IPTU,75 m² · 2 quartos · 1 vaga,Apartamento,"Rua Padre Francisco Arantes, Vila Paris · Belo Horizonte"
517,R$ 800.000,R$ 801 Condo. + IPTU,93 m² · 4 quartos · 2 vagas,Apartamento,"Rua Litargírio, Grajaú · Belo Horizonte"
518,R$ 310.000,R$ 720 Condo. + IPTU,70 m² · 2 quartos,Apartamento,"Avenida Francisco Sales, Floresta · Belo Horizonte"
519,R$ 300.000,R$ 295 Condo. + IPTU,64 m² · 2 quartos · 1 vaga,Apartamento,"Rua Aristóteles Caldeira, Barroca · Belo Horizonte"
520,R$ 185.000,R$ 280 Condo. + IPTU,43 m² · 2 quartos,Apartamento,"Rua Inácio Murta, Santa Amélia · Belo Horizonte"
521,R$ 650.000,R$ 50 Condo. + IPTU,420 m² · 3 quartos · 8 vagas,Casa,"Rua Seringueira, Nova Gameleira · Belo Horizonte"
522,R$ 450.000,R$ 982 Condo. + IPTU,50 m² · 2 quartos · 1 vaga,Apartamento,"Rua Mato Grosso, Santo Agostinho · Belo Horizonte"
523,R$ 379.000,R$ 360 Condo. + IPTU,80 m² · 3 quartos · 1 vaga,Apartamento,"Rua Contendas, Alto Barroca · Belo Horizonte"
524,R$ 780.000,R$ 810 Condo. + IPTU,65 m² · 2 quartos · 2 vagas,Apartamento,"Rua Almirante Alexandrino, Gutierrez · Belo Horizonte"
525,R$ 550.000,R$ 933 Condo. + IPTU,86 m² · 1 quarto · 1 vaga,Apartamento,"Rua São Paulo, Centro · Belo Horizonte"
526,R$ 279.000,R$ 330 Condo. + IPTU,50 m² · 2 quartos · 1 vaga,Apartamento,"Rua Pouso Alegre, Horto · Belo Horizonte"
527,R$ 320.000,R$ 340 Condo. + IPTU,76 m² · 2 quartos · 1 vaga,Apartamento,"Rua Dom Lúcio Antunes, Coração Eucarístico · Belo Horizonte"
528,R$ 698.000,R$ 733 Condo. + IPTU,62 m² · 2 quartos · 2 vagas,Apartamento,"Rua Anhanguera, Santa Tereza · Belo Horizonte"
529,R$ 350.000,R$ 360 Condo. + IPTU,98 m² · 3 quartos · 1 vaga,Apartamento,"R. Capivari, Serra · Belo Horizonte"
530,R$ 950.000,R$ 1.041 Condo. + IPTU,120 m² · 4 quartos · 2 vagas,Apartamento,"Rua Venezuela, Sion · Belo Horizonte"
531,R$ 310.000,R$ 680 Condo. + IPTU,130 m² · 3 quartos,Apartamento,"Rua dos Caetés, Centro · Belo Horizonte"
532,R$ 150.000,R$ 40 Condo. + IPTU,57 m² · 2 quartos,Apartamento,"Avenida Avaí, Dom Bosco · Belo Horizonte"
533,R$ 620.000,R$ 743 Condo. + IPTU,119 m² · 3 quartos · 2 vagas,Apartamento,"Rua Ernani Agrícola, Buritis · Belo Horizonte"
534,R$ 820.000,R$ 940 Condo. + IPTU,115 m² · 4 quartos · 2 vagas,Apartamento,"Rua Rubéns Carvalho de Andrade, Buritis · Belo Horizonte"
535,R$ 580.000,R$ 784 Condo. + IPTU,150 m² · 4 quartos · 2 vagas,Apartamento,"Rua Marechal Bitencourt, Gutierrez · Belo Horizonte"
536,R$ 480.000,R$ 600 Condo. + IPTU,100 m² · 3 quartos · 2 vagas,Apartamento,"Rua Mario Coutinho, Havaí · Belo Horizonte"
537,R$ 399.000,R$ 987 Condo. + IPTU,34 m² · 1 quarto · 1 vaga,Apartamento,"Rua dos Timbiras, Funcionários · Belo Horizonte"
538,R$ 970.000,R$ 1.225 Condo. + IPTU,80 m² · 2 quartos · 2 vagas,Apartamento,"Rua dos Aimorés, Lourdes · Belo Horizonte"
539,R$ 510.000,R$ 470 Condo. + IPTU,58 m² · 2 quartos · 2 vagas,Apartamento,"Rua Orlando Moretzsohn, Buritis · Belo Horizonte"
540,R$ 550.000,R$ 708 Condo. + IPTU,100 m² · 3 quartos · 2 vagas,Apartamento,"Rua Cônsul Walter, Buritis · Belo Horizonte"
541,R$ 550.000,R$ 667 Condo. + IPTU,79 m² · 3 quartos · 2 vagas,Apartamento,"Rua Pedro Sigaud, Grajaú · Belo Horizonte"
542,R$ 245.000,R$ 233 Condo. + IPTU,58 m² · 2 quartos · 1 vaga,Apartamento,"Rua Cricaré, Maria Helena · Belo Horizonte"
543,R$ 680.000,R$ 200 Condo. + IPTU,135 m² · 3 quartos · 4 vagas,Casa em condomínio,"Rua Augusto Clementino, Jardim Atlântico · Belo Horizonte"
544,R$ 520.000,R$ 275 Condo. + IPTU,90 m² · 3 quartos · 2 vagas,Apartamento,"Rua Professor Miguel de Souza, Buritis · Belo Horizonte"
545,R$ 720.000,R$ 1.383 Condo. + IPTU,169 m² · 3 quartos · 2 vagas,Apartamento,"Rua Soares do Couto, Vila Paris · Belo Horizonte"
546,R$ 1.090.000,R$ 1.200 Condo. + IPTU,125 m² · 4 quartos · 2 vagas,Apartamento,"Rua General Andrade Neves, Gutierrez · Belo Horizonte"
547,R$ 538.000,R$ 911 Condo. + IPTU,58 m² · 1 quarto,Apartamento,"Rua da Bahia, Lourdes · Belo Horizonte"
548,R$ 500.000,R$ 899 Condo. + IPTU,63 m² · 2 quartos · 2 vagas,Apartamento,"Rua Bolívia, São Pedro · Belo Horizonte"
549,R$ 445.000,R$ 474 Condo. + IPTU,100 m² · 2 quartos · 1 vaga,Apartamento,"Rua Geraldina Cândida de Jesus, Ouro Preto · Belo Horizonte"
550,R$ 370.000,R$ 468 Condo. + IPTU,74 m² · 2 quartos · 1 vaga,Apartamento,"Rua Angra dos Reis, Nova Granada · Belo Horizonte"
551,R$ 350.000,R$ 559 Condo. + IPTU,90 m² · 3 quartos · 1 vaga,Apartamento,"Rua Rio Negro, Calafate · Belo Horizonte"
552,R$ 560.000,R$ 240 Condo. + IPTU,90 m² · 3 quartos · 2 vagas,Apartamento,"Rua Aristóteles Caldeira, Grajaú · Belo Horizonte"
553,R$ 1.350.000,R$ 1.800 Condo. + IPTU,112 m² · 3 quartos · 3 vagas,Apartamento,"Rua Boa Esperança, Carmo · Belo Horizonte"
554,R$ 620.000,R$ 652 Condo. + IPTU,120 m² · 4 quartos · 2 vagas,Apartamento,"Rua Viamão, Alto Barroca · Belo Horizonte"
555,R$ 775.000,R$ 1.133 Condo. + IPTU,102 m² · 3 quartos · 2 vagas,Apartamento,"Rua Flavita Bretas, Luxemburgo · Belo Horizonte"
556,R$ 1.360.000,R$ 691 Condo. + IPTU,85 m² · 3 quartos · 3 vagas,Apartamento,"Rua Gonçalves Dias, Funcionários · Belo Horizonte"
557,R$ 1.360.000,R$ 691 Condo. + IPTU,85 m² · 3 quartos · 3 vagas,Apartamento,"Rua Gonçalves Dias, Funcionários · Belo Horizonte"
558,R$ 1.360.000,R$ 691 Condo. + IPTU,85 m² · 3 quartos · 3 vagas,Apartamento,"Rua Gonçalves Dias, Funcionários · Belo Horizonte"
559,R$ 595.000,R$ 1.347 Condo. + IPTU,50 m² · 1 quarto · 1 vaga,Apartamento,"Rua Ceará, Funcionários · Belo Horizonte"
560,R$ 645.000,R$ 698 Condo. + IPTU,100 m² · 3 quartos · 2 vagas,Apartamento,"Avenida Deputado Cristóvam Chiaradia, Buritis · Belo Horizonte"
561,R$ 250.000,R$ 414 Condo. + IPTU,46 m² · 2 quartos · 1 vaga,Apartamento,"Rua Osório Duque Estrada, Planalto · Belo Horizonte"
562,R$ 255.000,R$ 484 Condo. + IPTU,76 m² · 3 quartos · 1 vaga,Apartamento,"Rua Entre Rios, Carlos Prates · Belo Horizonte"
563,R$ 650.000,R$ 471 Condo. + IPTU,60 m² · 2 quartos · 2 vagas,Apartamento,"Rua Maria Heilbuth Surette, Buritis · Belo Horizonte"
564,R$ 750.000,R$ 1.145 Condo. + IPTU,105 m² · 3 quartos · 4 vagas,Apartamento,"Avenida José Cândido da Silveira, Sagrada Família · Belo Horizonte"
565,R$ 530.000,R$ 584 Condo. + IPTU,160 m² · 3 quartos · 2 vagas,Apartamento,"Rua Maria Heilbuth Surette, Buritis · Belo Horizonte"
566,R$ 550.000,R$ 501 Condo. + IPTU,95 m² · 3 quartos · 1 vaga,Apartamento,"Rua Romano Stochiero, Santa Efigênia · Belo Horizonte"
567,R$ 750.000,R$ 755 Condo. + IPTU,95 m² · 3 quartos · 2 vagas,Apartamento,"Rua Queluzita, Fernão Dias · Belo Horizonte"
568,R$ 460.000,R$ 100 Condo. + IPTU,100 m² · 2 quartos · 2 vagas,Casa,"Rua Uraricoera, Renascença · Belo Horizonte"
569,R$ 320.000,R$ 403 Condo. + IPTU,70 m² · 2 quartos · 1 vaga,Apartamento,"Rua Olimpus, Ana Lúcia · Belo Horizonte"
570,R$ 925.000,R$ 1.384 Condo. + IPTU,110 m² · 4 quartos · 2 vagas,Apartamento,"Rua Engenheiro Alberto Pontes, Buritis · Belo Horizonte"
571,R$ 169.000,R$ 274 Condo. + IPTU,48 m² · 2 quartos · 1 vaga,Apartamento,"Rua Acácio Costa Júnior, Juliana · Belo Horizonte"
572,R$ 498.000,R$ 572 Condo. + IPTU,100 m² · 3 quartos · 1 vaga,Apartamento,"Rua Jornalista Jaír Silva, Cruzeiro · Belo Horizonte"
573,R$ 250.000,R$ 400 Condo. + IPTU,60 m² · 2 quartos · 1 vaga,Apartamento,"Avenida Presidente Antônio Carlos, Lagoinha · Belo Horizonte"
574,R$ 485.000,R$ 481 Condo. + IPTU,75 m² · 3 quartos · 2 vagas,Apartamento,"Rua Ibiraci, Salgado Filho · Belo Horizonte"
575,R$ 575.000,R$ 662 Condo. + IPTU,95 m² · 3 quartos · 2 vagas,Apartamento,"Rua Conde de Linhares, Coracao de Jesus · Belo Horizonte"
576,R$ 330.000,R$ 748 Condo. + IPTU,73 m² · 3 quartos · 1 vaga,Apartamento,"Rua Perdizes, Padre Eustáquio · Belo Horizonte"
577,R$ 290.000,R$ 234 Condo. + IPTU,54 m² · 2 quartos · 2 vagas,Apartamento,"Rua Argemiro Rodrigues da Silva, Aparecida · Belo Horizonte"
578,R$ 150.000,R$ 0 Condo. + IPTU,120 m² · 2 quartos,Casa,"Beco da Mangueira, São Tomáz · Belo Horizonte"
579,R$ 250.000,R$ 364 Condo. + IPTU,68 m² · 2 quartos · 1 vaga,Apartamento,"Rua Antônia Felícia dos Reis, Caiçaras · Belo Horizonte"
580,R$ 425.000,R$ 375 Condo. + IPTU,70 m² · 3 quartos · 1 vaga,Apartamento,"Rua Zurick, Salgado Filho · Belo Horizonte"
581,R$ 440.000,R$ 575 Condo. + IPTU,84 m² · 3 quartos · 1 vaga,Apartamento,"R. Henrique Passini, Serra · Belo Horizonte"
582,R$ 279.000,R$ 390 Condo. + IPTU,49 m² · 2 quartos · 1 vaga,Apartamento,"Rua Rita Alves Castanheira, Dona Clara · Belo Horizonte"
583,R$ 750.000,R$ 600 Condo. + IPTU,90 m² · 3 quartos · 2 vagas,Apartamento,"Rua Ministro Ivan Lins, Dona Clara · Belo Horizonte"
584,R$ 700.000,R$ 550 Condo. + IPTU,167 m² · 4 quartos · 3 vagas,Apartamento,"Rua General Dionísio Cerqueira, Gutierrez · Belo Horizonte"
585,R$ 350.000,R$ 725 Condo. + IPTU,42 m² · 1 quarto · 1 vaga,Apartamento,"Rua Teixeira de Freitas, Santo Antônio · Belo Horizonte"
586,R$ 699.000,R$ 89 Condo. + IPTU,112 m² · 3 quartos · 2 vagas,Casa,"Rua Mario de Andrade Gomes, Sagrada Família · Belo Horizonte"
587,R$ 397.000,R$ 313 Condo. + IPTU,150 m² · 3 quartos · 1 vaga,Apartamento,"Rua Embaixador José Aparecido, Venda Nova · Belo Horizonte"
588,R$ 350.000,R$ 650 Condo. + IPTU,52 m² · 1 quarto,Apartamento,"Avenida Bias Fortes, Lourdes · Belo Horizonte"
589,R$ 675.000,R$ 1.029 Condo. + IPTU,105 m² · 3 quartos · 2 vagas,Apartamento,"Avenida Engenheiro Carlos Goulart, Buritis · Belo Horizonte"
590,R$ 620.000,R$ 712 Condo. + IPTU,75 m² · 3 quartos · 1 vaga,Apartamento,"Rua Monte Alverne, Floresta · Belo Horizonte"
591,R$ 620.000,R$ 950 Condo. + IPTU,77 m² · 3 quartos · 2 vagas,Apartamento,"Rua Visconde de Caravelas, Serra · Belo Horizonte"
592,R$ 415.000,R$ 483 Condo. + IPTU,70 m² · 2 quartos · 1 vaga,Apartamento,"Rua Campos Elíseos, Alto Barroca · Belo Horizonte"
593,R$ 260.000,R$ 507 Condo. + IPTU,50 m² · 2 quartos · 1 vaga,Apartamento,"Rua Professor Tancredo Martins, São Lucas · Belo Horizonte"
594,R$ 395.000,R$ 83 Condo. + IPTU,110 m² · 2 quartos · 1 vaga,Casa,"Rua Estácio Rodrigues, Havaí · Belo Horizonte"
595,R$ 980.000,R$ 950 Condo. + IPTU,143 m² · 3 quartos · 3 vagas,Apartamento,"Rua Visconde de Caravelas, Serra · Belo Horizonte"
596,R$ 395.000,R$ 608 Condo. + IPTU,70 m² · 2 quartos · 1 vaga,Apartamento,"Rua Grão Mogol, Sion · Belo Horizonte"
597,R$ 450.000,R$ 447 Condo. + IPTU,94 m² · 3 quartos · 2 vagas,Apartamento,"Rua Campos Elíseos, Alto Barroca · Belo Horizonte"
598,R$ 340.000,R$ 295 Condo. + IPTU,69 m² · 2 quartos · 1 vaga,Apartamento,"Rua Inácio Parreira Neves, Estrela Dalva · Belo Horizonte"
599,R$ 380.000,R$ 613 Condo. + IPTU,55 m² · 2 quartos · 2 vagas,Apartamento,"Rua Camilo Prates, União · Belo Horizonte"
600,R$ 320.000,R$ 293 Condo. + IPTU,75 m² · 2 quartos · 1 vaga,Apartamento,"Rua Junquilhos, Nova Suíça · Belo Horizonte"
601,R$ 565.000,R$ 362 Condo. + IPTU,80 m² · 2 quartos · 2 vagas,Apartamento,"Rua Doutor Djalma Carneiro, Palmeiras · Belo Horizonte"
602,R$ 251.000,R$ 220 Condo. + IPTU,70 m² · 3 quartos · 1 vaga,Apartamento,"Rua Padre Felipe da Silva, Santa Cruz · Belo Horizonte"
603,R$ 480.000,R$ 381 Condo. + IPTU,72 m² · 3 quartos · 2 vagas,Apartamento,"Rua Maria Helena, Candelária · Belo Horizonte"
604,R$ 370.000,R$ 383 Condo. + IPTU,54 m² · 2 quartos · 1 vaga,Apartamento,"Rua Júlio Soares Santana, Ouro Preto · Belo Horizonte"
605,R$ 580.000,R$ 421 Condo. + IPTU,105 m² · 3 quartos · 3 vagas,Apartamento,"Rua Dona Luci, Palmeiras · Belo Horizonte"
606,R$ 180.000,R$ 335 Condo. + IPTU,50 m² · 2 quartos · 1 vaga,Apartamento,"Rua José Joaquim Duarte, Heliópolis · Belo Horizonte"
607,R$ 720.000,R$ 1.028 Condo. + IPTU,72 m² · 3 quartos · 2 vagas,Apartamento,"Rua Adolfo Pereira, Anchieta · Belo Horizonte"
608,R$ 720.000,R$ 1.057 Condo. + IPTU,104 m² · 3 quartos · 2 vagas,Apartamento,"Rua Soares do Couto, Vila Paris · Belo Horizonte"
609,R$ 420.000,R$ 793 Condo. + IPTU,60 m² · 2 quartos · 2 vagas,Apartamento,"Rua Paulo Diniz Carneiro, Buritis · Belo Horizonte"
610,R$ 720.000,R$ 580 Condo. + IPTU,155 m² · 3 quartos · 2 vagas,Apartamento,"Rua Flor-de-orquídea, Santa Rosa · Belo Horizonte"
611,R$ 560.000,R$ 167 Condo. + IPTU,180 m² · 2 quartos · 2 vagas,Casa,"Rua Abeilard Pereira Santa Amelia - Belo Horizontemg, Jardim Atlântico · Belo Horizonte"
612,R$ 720.000,R$ 649 Condo. + IPTU,128 m² · 4 quartos · 2 vagas,Apartamento,"Rua Padre Rossini Cândido, Coração Eucarístico · Belo Horizonte"
613,R$ 460.000,R$ 733 Condo. + IPTU,70 m² · 3 quartos · 1 vaga,Apartamento,"Avenida Bernardo de Vasconcelos, Ipiranga · Belo Horizonte"
614,R$ 330.000,R$ 387 Condo. + IPTU,76 m² · 3 quartos · 1 vaga,Apartamento,"Rua Professor Antônio Márcio, Maria Virgínia · Belo Horizonte"
615,R$ 425.000,R$ 546 Condo. + IPTU,87 m² · 3 quartos · 1 vaga,Apartamento,"Rua Pilar, Grajaú · Belo Horizonte"
616,R$ 360.000,R$ 17 Condo. + IPTU,400 m² · 7 quartos · 4 vagas,Casa,"Rua Alga Marinha, Jardim Guanabara · Belo Horizonte"
617,R$ 600.000,R$ 618 Condo. + IPTU,102 m² · 3 quartos · 2 vagas,Apartamento,"Rua Raimunda Simões da Silva, Manacás · Belo Horizonte"
618,R$ 375.000,R$ 560 Condo. + IPTU,52 m² · 2 quartos · 1 vaga,Apartamento,"Rua Tabelião Ferreira de Carvalho, Cidade Nova · Belo Horizonte"
619,R$ 885.000,R$ 803 Condo. + IPTU,130 m² · 3 quartos · 3 vagas,Apartamento,"Rua Doutor Américo Giannetti, Graça · Belo Horizonte"
620,R$ 470.000,R$ 609 Condo. + IPTU,127 m² · 3 quartos · 2 vagas,Apartamento,"Rua Alegrete, Sagrada Família · Belo Horizonte"
621,R$ 210.000,R$ 290 Condo. + IPTU,60 m² · 2 quartos,Apartamento,"Rua Doutor Alípio Goulart, Serra · Belo Horizonte"
622,R$ 360.000,R$ 331 Condo. + IPTU,58 m² · 3 quartos · 1 vaga,Apartamento,"Rua Alabastro, Sagrada Família · Belo Horizonte"
623,R$ 350.000,R$ 1.045 Condo. + IPTU,29 m² · 1 quarto · 1 vaga,Studio e kitnet,"Rua Desembargador Amílcar de Castro, Estoril · Belo Horizonte"
624,R$ 215.000,R$ 421 Condo. + IPTU,50 m² · 2 quartos · 1 vaga,Apartamento,"Rua Itaunense, Camargos · Belo Horizonte"
625,R$ 310.000,R$ 452 Condo. + IPTU,70 m² · 2 quartos · 1 vaga,Apartamento,"Rua General Dionísio Cerqueira, Gutierrez · Belo Horizonte"
626,R$ 500.000,R$ 250 Condo. + IPTU,95 m² · 2 quartos · 1 vaga,Apartamento,"Rua Bernardo Guimarães, Funcionários · Belo Horizonte"
627,R$ 345.000,R$ 397 Condo. + IPTU,60 m² · 2 quartos · 1 vaga,Apartamento,"Rua Osmário Soares, Dom Bosco · Belo Horizonte"
628,R$ 585.000,R$ 664 Condo. + IPTU,80 m² · 3 quartos · 2 vagas,Apartamento,"Rua Litargírio, Grajaú · Belo Horizonte"
629,R$ 490.000,R$ 575 Condo. + IPTU,154 m² · 3 quartos · 2 vagas,Apartamento,"Rua Coronel Pedro Paulo Penido, Cidade Nova · Belo Horizonte"
630,R$ 459.000,R$ 189 Condo. + IPTU,170 m² · 4 quartos · 1 vaga,Casa,"Rua Deputado José Raimundo, Dona Clara · Belo Horizonte"
631,R$ 480.000,R$ 890 Condo. + IPTU,60 m² · 2 quartos · 2 vagas,Apartamento,"Rua Xapuri, Grajaú · Belo Horizonte"
632,R$ 480.000,R$ 493 Condo. + IPTU,110 m² · 3 quartos · 1 vaga,Apartamento,"Rua Amparo, Alto Barroca · Belo Horizonte"
633,R$ 650.000,R$ 820 Condo. + IPTU,55 m² · 2 quartos · 1 vaga,Apartamento,"Rua Pirapetinga, Serra · Belo Horizonte"
634,R$ 350.000,R$ 250 Condo. + IPTU,100 m² · 3 quartos · 2 vagas,Apartamento,"Rua Leopoldina Cardoso, Dona Clara · Belo Horizonte"
635,R$ 690.000,R$ 1.139 Condo. + IPTU,90 m² · 3 quartos · 2 vagas,Apartamento,"Rua João de Paula, Sagrada Família · Belo Horizonte"
636,R$ 430.000,R$ 110 Condo. + IPTU,300 m² · 3 quartos · 3 vagas,Casa,"Rua Casablanca, Santa Terezinha · Belo Horizonte"
637,R$ 550.000,R$ 898 Condo. + IPTU,92 m² · 3 quartos · 2 vagas,Apartamento,"R. Teodomira Diniz Lara, Sagrada Família · Belo Horizonte"
638,R$ 885.000,R$ 975 Condo. + IPTU,125 m² · 4 quartos · 2 vagas,Apartamento,"Rua Junquilhos, Nova Suíça · Belo Horizonte"
639,R$ 560.000,R$ 641 Condo. + IPTU,81 m² · 3 quartos · 2 vagas,Apartamento,"Rua Ômega, Jardim America · Belo Horizonte"
640,R$ 245.000,R$ 245 Condo. + IPTU,54 m² · 2 quartos · 1 vaga,Apartamento,"Rua Doutor José Welinton, Planalto · Belo Horizonte"
641,R$ 450.000,R$ 563 Condo. + IPTU,80 m² · 3 quartos · 1 vaga,Apartamento,"Rua Marechal Jofre, Nova Granada · Belo Horizonte"
642,R$ 500.000,R$ 524 Condo. + IPTU,118 m² · 3 quartos · 1 vaga,Apartamento,"Avenida José Cândido da Silveira, Cidade Nova · Belo Horizonte"
643,R$ 520.000,R$ 389 Condo. + IPTU,122 m² · 3 quartos · 1 vaga,Apartamento,"Rua Castelo de Lisboa, Castelo · Belo Horizonte"
644,R$ 385.000,R$ 500 Condo. + IPTU,62 m² · 2 quartos · 2 vagas,Apartamento,"Rua Vereador Geraldo Pereira, Padre Eustáquio · Belo Horizonte"
645,R$ 698.000,R$ 117 Condo. + IPTU,160 m² · 3 quartos · 3 vagas,Casa,"Rua Tarumirim, Ipiranga · Belo Horizonte"
646,R$ 760.000,R$ 600 Condo. + IPTU,60 m² · 2 quartos · 2 vagas,Apartamento,"Rua Almirante Alexandrino, Gutierrez · Belo Horizonte"
647,R$ 420.000,R$ 587 Condo. + IPTU,98 m² · 3 quartos · 2 vagas,Apartamento,"Rua Itaquera, Graça · Belo Horizonte"
648,R$ 190.000,R$ 269 Condo. + IPTU,45 m² · 2 quartos · 1 vaga,Apartamento,"Rua Doutor Álvaro Camargos, Santa Branca · Belo Horizonte"
649,R$ 670.000,R$ 747 Condo. + IPTU,75 m² · 3 quartos · 1 vaga,Apartamento,"Rua Rio Negro, Prado · Belo Horizonte"
650,R$ 695.000,R$ 751 Condo. + IPTU,128 m² · 3 quartos · 3 vagas,Apartamento,"Rua Romualdo Lopes Cançado, Castelo · Belo Horizonte"
651,R$ 190.000,R$ 420 Condo. + IPTU,52 m² · 2 quartos,Apartamento,"Rua Blenda, Camargos · Belo Horizonte"
652,R$ 670.000,R$ 1.134 Condo. + IPTU,105 m² · 3 quartos · 2 vagas,Apartamento,"Rua Wilsom Modesto Ribeiro 155 - Ipiranga, Belo Horizonte - Mg, Brasil, Ipiranga · Belo Horizonte"
653,R$ 615.000,R$ 950 Condo. + IPTU,54 m² · 2 quartos · 2 vagas,Apartamento,"Rua Visconde de Caravelas, Serra · Belo Horizonte"
654,R$ 399.000,R$ 551 Condo. + IPTU,95 m² · 3 quartos · 1 vaga,Apartamento,"Rua Santo Antônio do Monte, Santo Antônio · Belo Horizonte"
655,R$ 400.000,R$ 488 Condo. + IPTU,100 m² · 3 quartos · 1 vaga,Apartamento,"Rua Monte Simplon, Salgado Filho · Belo Horizonte"
656,R$ 690.000,R$ 772 Condo. + IPTU,74 m² · 3 quartos · 2 vagas,Apartamento,"Rua Maranguape, Prado · Belo Horizonte"
657,R$ 339.000,R$ 400 Condo. + IPTU,76 m² · 3 quartos,Apartamento,"Rua Platina, Prado · Belo Horizonte"
658,R$ 460.000,R$ 584 Condo. + IPTU,67 m² · 2 quartos · 1 vaga,Apartamento,"Rua Zilah Correia de Araújo, Ouro Preto · Belo Horizonte"
659,R$ 460.000,R$ 524 Condo. + IPTU,42 m² · 1 quarto · 1 vaga,Apartamento,"R. Bambuí, Cruzeiro · Belo Horizonte"
660,R$ 930.000,R$ 1.100 Condo. + IPTU,170 m² · 4 quartos · 3 vagas,Apartamento,"Rua Artur Alvim, Horto Florestal · Belo Horizonte"
661,R$ 290.000,R$ 160 Condo. + IPTU,60 m² · 2 quartos · 1 vaga,Apartamento,"Rua dos Morangos, Vila Cloris · Belo Horizonte"
662,R$ 720.000,R$ 1.383 Condo. + IPTU,169 m² · 3 quartos · 2 vagas,Apartamento,"Rua Soares do Couto, Vila Paris · Belo Horizonte"
663,R$ 650.000,R$ 614 Condo. + IPTU,180 m² · 4 quartos · 1 vaga,Apartamento,"Rua Mar de Espanha, Santo Antônio · Belo Horizonte"
664,R$ 450.000,R$ 563 Condo. + IPTU,80 m² · 3 quartos · 1 vaga,Apartamento,"Rua Marechal Jofre, Nova Granada · Belo Horizonte"
665,R$ 550.000,R$ 933 Condo. + IPTU,86 m² · 1 quarto · 1 vaga,Apartamento,"Rua São Paulo, Centro · Belo Horizonte"
666,R$ 480.000,R$ 600 Condo. + IPTU,100 m² · 3 quartos · 2 vagas,Apartamento,"Rua Mario Coutinho, Havaí · Belo Horizonte"
667,R$ 490.000,R$ 529 Condo. + IPTU,133 m² · 3 quartos · 2 vagas,Apartamento,"Rua João Antônio Cardoso, Ouro Preto · Belo Horizonte"
668,R$ 450.000,R$ 475 Condo. + IPTU,72 m² · 3 quartos · 2 vagas,Apartamento,"Rua Maria Helena, Candelária · Belo Horizonte"
669,R$ 750.000,R$ 867 Condo. + IPTU,80 m² · 3 quartos · 2 vagas,Apartamento,"Rua Virgílio José Batista, Estoril · Belo Horizonte"
670,R$ 470.000,R$ 571 Condo. + IPTU,37 m² · 1 quarto · 1 vaga,Apartamento,"Avenida Álvares Cabral, Centro · Belo Horizonte"
671,R$ 470.000,R$ 569 Condo. + IPTU,37 m² · 1 quarto · 1 vaga,Apartamento,"Avenida Álvares Cabral, Centro · Belo Horizonte"
672,R$ 460.000,R$ 773 Condo. + IPTU,84 m² · 3 quartos · 2 vagas,Apartamento,"Rua Oriente, Serra · Belo Horizonte"
673,R$ 850.000,R$ 1.000 Condo. + IPTU,103 m² · 3 quartos · 2 vagas,Apartamento,"Rua Palmira, Serra · Belo Horizonte"
674,R$ 385.000,R$ 430 Condo. + IPTU,110 m² · 3 quartos,Apartamento,"Rua Cuiabá, Prado · Belo Horizonte"
675,R$ 890.000,R$ 545 Condo. + IPTU,174 m² · 3 quartos · 2 vagas,Apartamento,"Rua São Luiz, Sagrada Família · Belo Horizonte"
676,R$ 350.000,R$ 71 Condo. + IPTU,99 m² · 2 quartos · 1 vaga,Casa,"Rua Delfinópolis, Renascença · Belo Horizonte"
677,R$ 280.000,R$ 601 Condo. + IPTU,65 m² · 2 quartos · 1 vaga,Apartamento,"Rua São Gonçalo, Nova Floresta · Belo Horizonte"
678,R$ 550.000,R$ 429 Condo. + IPTU,118 m² · 3 quartos · 2 vagas,Apartamento,"Rua Elson Nunes de Souza, Castelo · Belo Horizonte"
679,R$ 925.000,R$ 1.384 Condo. + IPTU,110 m² · 4 quartos · 2 vagas,Apartamento,"Rua Engenheiro Alberto Pontes, Buritis · Belo Horizonte"
