,Valor,IPTU_Condicao,Caracteristicas,Tipo,Endereco
134,R$ 160.000,R$ 255 Condo. + IPTU,50 m² · 1 quarto · 1 vaga,Apartamento,"Avenida Presidente Antônio Carlos, Lagoinha · Belo Horizonte"
135,R$ 250.000,R$ 422 Condo. + IPTU,50 m² · 2 quartos · 1 vaga,Apartamento,"Rua Santa Bárbara, Sagrada Família · Belo Horizonte"
136,R$ 550.000,R$ 363 Condo. + IPTU,166 m² · 3 quartos · 1 vaga,Apartamento,"Rua Coronel Fulgêncio, São Lucas · Belo Horizonte"
137,R$ 370.000,R$ 383 Condo. + IPTU,115 m² · 3 quartos · 1 vaga,Apartamento,"Rua Canaã, Grajaú · Belo Horizonte"
138,R$ 650.000,R$ 471 Condo. + IPTU,190 m² · 4 quartos · 1 vaga,Apartamento,"Rua do Ouro, Serra · Belo Horizonte"
139,R$ 299.000,R$ 342 Condo. + IPTU,85 m² · 3 quartos · 1 vaga,Apartamento,"Rua Capivari, Serra · Belo Horizonte"
140,R$ 170.000,R$ 15 Condo. + IPTU,90 m² · 2 quartos · 1 vaga,Casa,"Rua Dalker Teixeira Rocha, Mantiqueira · Belo Horizonte"
141,R$ 290.000,R$ 567 Condo. + IPTU,70 m² · 3 quartos · 1 vaga,Apartamento,"Rua Monte Santo, Carlos Prates · Belo Horizonte"
142,R$ 200.000,R$ 350 Condo. + IPTU,65 m² · 2 quartos · 2 vagas,Apartamento,"Rua Congonhal, Santa Terezinha · Belo Horizonte"
143,R$ 1.280.000,R$ 1.300 Condo. + IPTU,146 m² · 4 quartos · 2 vagas,Apartamento,"Rua Caraca 774 - Serra Belo Horizonte - Mg 34010-515 Brasil, Serra · Belo Horizonte"
144,R$ 350.000,R$ 444 Condo. + IPTU,111 m² · 3 quartos · 1 vaga,Apartamento,"Rua Corcovado, Jardim America · Belo Horizonte"
145,R$ 400.000,R$ 84 Condo. + IPTU,150 m² · 2 quartos · 2 vagas,Casa,"Rua João Donada, Santa Terezinha · Belo Horizonte"
146,R$ 695.000,R$ 849 Condo. + IPTU,90 m² · 3 quartos · 2 vagas,Apartamento,"Rua Saldanha da Gama, Colégio Batista · Belo Horizonte"
147,R$ 490.000,R$ 550 Condo. + IPTU,136 m² · 4 quartos · 1 vaga,Apartamento,"Rua Costa Monteiro, Sagrada Família · Belo Horizonte"
148,R$ 330.000,R$ 550 Condo. + IPTU,55 m² · 2 quartos · 1 vaga,Apartamento,"Avenida Joaquim José Diniz, Dom Joaquim · Belo Horizonte"
149,R$ 760.000,R$ 908 Condo. + IPTU,95 m² · 3 quartos · 2 vagas,Apartamento,"Rua General Andrade Neves, Gutierrez · Belo Horizonte"
150,R$ 215.000,R$ 360 Condo. + IPTU,58 m² · 3 quartos · 1 vaga,Apartamento,"Rua José Claúdio Sanches, Califórnia · Belo Horizonte"
151,R$ 380.000,R$ 515 Condo. + IPTU,100 m² · 3 quartos · 1 vaga,Apartamento,"Rua Doutor Raul Franco, São Lucas · Belo Horizonte"
152,R$ 380.000,R$ 482 Condo. + IPTU,85 m² · 2 quartos · 1 vaga,Apartamento,"Rua Santo Antônio do Monte, Santo Antônio · Belo Horizonte"
153,R$ 650.000,R$ 1.417 Condo. + IPTU,81 m² · 2 quartos · 1 vaga,Apartamento,"Rua Rio Grande do Norte, Santa Efigênia · Belo Horizonte"
154,R$ 380.000,R$ 615 Condo. + IPTU,76 m² · 3 quartos · 2 vagas,Apartamento,"Rua Beira Alta, São Francisco · Belo Horizonte"
155,R$ 300.000,R$ 0 Condo. + IPTU,180 m² · 4 quartos · 1 vaga,Casa,"Rua Roque da Silva, Solar do Barreiro (barreiro · Belo Horizonte"
156,R$ 380.000,R$ 482 Condo. + IPTU,85 m² · 2 quartos · 1 vaga,Apartamento,"Rua Santo Antônio do Monte, Santo Antônio · Belo Horizonte"
157,R$ 650.000,R$ 1.417 Condo. + IPTU,81 m² · 2 quartos · 1 vaga,Apartamento,"Rua Rio Grande do Norte, Santa Efigênia · Belo Horizonte"
158,R$ 380.000,R$ 615 Condo. + IPTU,76 m² · 3 quartos · 2 vagas,Apartamento,"Rua Beira Alta, São Francisco · Belo Horizonte"
159,R$ 300.000,R$ 0 Condo. + IPTU,180 m² · 4 quartos · 1 vaga,Casa,"Rua Roque da Silva, Solar do Barreiro (barreiro · Belo Horizonte"
160,R$ 450.000,R$ 650 Condo. + IPTU,115 m² · 3 quartos · 1 vaga,Apartamento,"Rua Junquilhos, Nova Suíça · Belo Horizonte"
161,R$ 480.000,R$ 78 Condo. + IPTU,110 m² · 2 quartos · 2 vagas,Casa,"Rua São Gonçalo do Abaeté, Santa Branca · Belo Horizonte"
162,R$ 325.000,R$ 338 Condo. + IPTU,71 m² · 3 quartos · 1 vaga,Apartamento,"Rua Lindolfo de Azevedo, Jardim America · Belo Horizonte"
163,R$ 318.000,R$ 507 Condo. + IPTU,75 m² · 2 quartos · 1 vaga,Apartamento,"Rua Elyseu Dias Coelho, Cidade Nova · Belo Horizonte"
164,R$ 290.000,R$ 510 Condo. + IPTU,60 m² · 3 quartos · 1 vaga,Apartamento,"Rua Antunes, Dom Cabral · Belo Horizonte"
165,R$ 300.000,R$ 301 Condo. + IPTU,89 m² · 3 quartos · 1 vaga,Apartamento,"Rua André Fernandes, Nova Suíça · Belo Horizonte"
