,Valor,Tipo,Endereco,Iptu,Condominio,m2,quartos,vagas
302,536000,Casa, Bonfim ,0,318,360,3,1
303,510000,Apartamento, Santo Agostinho ,0,800,110,3,1
304,695000,Apartamento, Ouro Preto ,0,400,92,3,2
305,235000,Casa, Vila Nova Gameleira Ii ,0,0,90,2,0
306,250000,Studio e kitnet, Havaí ,0,0,60,1,1
307,480000,Apartamento, Cidade Nova ,0,537,110,3,1
308,350000,Apartamento, Nova Gameleira ,0,692,110,3,1
309,579000,Apartamento, Floresta ,0,431,120,3,1
310,220000,Apartamento, Califórnia ,0,286,54,3,1
311,460000,Apartamento, Sagrada Família ,0,651,80,3,1
312,480000,Apartamento, Palmares ,0,525,134,3,2
313,315000,Casa, São Gabriel ,0,35,180,2,1
314,550000,Apartamento, Buritis ,0,700,90,3,2
315,290000,Apartamento, Nova Granada ,0,250,72,3,1
316,255000,Apartamento, Santa Branca ,0,481,55,2,1
317,875000,Apartamento, Centro ,0,822,135,3,1
318,500000,Apartamento, Cidade Nova ,0,665,95,3,3
319,380000,Casa, Maria Goretti ,0,59,96,2,1
320,770000,Apartamento, Sagrada Família ,0,930,90,3,3
321,315000,Apartamento, Esplanada ,0,503,55,1,1
322,700000,Apartamento, Nova Suíça ,0,280,180,3,2
323,750000,Apartamento, Serra ,0,1067,69,2,2
324,315000,Apartamento, Planalto ,0,543,58,2,1
325,400000,Apartamento, Alto Barroca ,0,503,105,3,1
326,740000,Apartamento, Barreiro ,0,625,130,3,2
327,850000,Apartamento, Nova Floresta ,0,1003,150,4,2
328,200000,Apartamento, Venda Nova ,0,260,57,2,1
329,240000,Studio e kitnet, Sagrada Família ,0,250,25,1,1
330,350000,Casa em condomínio, Copacabana ,0,118,110,2,1
331,510000,Apartamento, Sagrada Família ,0,414,132,3,1
332,285000,Apartamento, Ipiranga ,0,496,55,2,1
333,260000,Apartamento, Conjunto Califórnia ,0,250,67,2,2
334,750000,Apartamento, Santo Antônio ,0,851,120,3,2
335,1100000,Apartamento, Buritis ,0,1525,117,4,3
336,330000,Apartamento, Estrela Dalva ,0,403,82,3,1
337,250000,Casa, São João Batista ,0,0,75,2,1
338,310000,Apartamento, Carlos Prates ,0,375,65,2,2
339,635000,Apartamento, Santo Antônio ,0,688,181,4,1
340,330000,Casa, Céu Azul ,0,254,80,3,1
341,350000,Apartamento, Nova Gameleira ,0,613,80,3,2
342,220000,Apartamento, São Bernardo ,0,1,52,2,1
343,480000,Apartamento, Sagrada Família ,0,0,92,2,2
344,680000,Casa, Concórdia ,0,1,300,3,4
345,495000,Apartamento, Palmares ,0,492,85,3,2
346,630000,Apartamento, Jardim America ,0,725,90,3,1
347,495000,Apartamento, Buritis ,0,709,85,3,2
348,200000,Apartamento, Candelária ,0,75,60,2,0
349,495000,Apartamento, Buritis ,0,709,85,3,2
350,200000,Apartamento, Solar do Barreiro ,0,150,66,2,1
351,520000,Apartamento, Buritis ,0,550,55,2,2
352,852000,Apartamento, Sagrada Família ,0,0,120,2,3
353,605000,Apartamento, Santo Antônio ,0,567,248,3,1
354,330000,Apartamento, São Lucas ,0,341,90,3,1
355,470000,Casa em condomínio, Santa Cruz ,0,325,98,3,1
356,350000,Apartamento, Ipiranga ,0,555,93,2,1
357,299000,Apartamento, Bonfim ,0,525,75,3,1
358,525000,Apartamento, Buritis ,0,559,70,3,2
359,395000,Casa, Diamante ,0,75,200,2,3
360,690000,Apartamento, Centro ,0,899,80,2,1
361,1150000,Apartamento, Alto Barroca ,0,775,143,3,4
362,455000,Apartamento, São Lucas ,0,425,59,2,1
363,1028000,Apartamento, Prado ,0,1150,90,3,3
364,470000,Apartamento, Coracao de Jesus ,0,622,104,3,1
365,350000,Apartamento, Ipiranga ,0,529,74,2,1
366,705000,Apartamento, Heliópolis ,0,493,180,3,2
367,264900,Apartamento, Camargos ,0,452,56,2,1
368,650000,Apartamento, Castelo ,0,779,140,3,2
369,269000,Apartamento, Havaí ,0,442,80,2,1
370,195000,Apartamento, Glória ,0,334,55,2,1
371,499900,Casa, Ipiranga ,0,0,90,2,1
372,590000,Apartamento, Alto Barroca ,0,605,130,3,2
373,250000,Apartamento, Ouro Preto ,0,290,47,2,1
374,329000,Casa em condomínio, Santa Branca ,0,35,60,2,1
375,600000,Apartamento, Luxemburgo ,0,829,50,1,1
376,520000,Apartamento, Carlos Prates ,0,668,125,3,1
377,150000,Apartamento, São Cristóvão ,0,0,50,3,0
378,275000,Apartamento, Bandeirantes (pampulha) ,0,255,50,2,1
379,639000,Apartamento, Coração Eucarístico ,0,416,80,3,2
380,495000,Apartamento, Santa Efigênia ,0,297,90,3,1
381,435000,Apartamento, Paquetá ,0,584,72,2,2
382,480000,Apartamento, Heliópolis ,0,852,84,3,2
383,490000,Apartamento, São Lucas ,0,529,200,4,2
384,490000,Apartamento, São Lucas ,0,529,200,4,2
385,795000,Apartamento, Sagrada Família ,0,557,140,3,2
386,780000,Apartamento, Palmares ,0,1087,85,3,2
387,264000,Apartamento, Dom Silverio ,0,270,70,2,1
